([2642.693767410305, 2642.693767410305, 2642.693767410305, 2642.693767410305, 2642.693767410305, 2642.693767410305, 2642.693767410305, 2642.693767410305, 2642.693767410305, 2642.693767410305, 2642.693767410305, 2642.693767410305, 2642.693767410305, 2642.693767410305, 2642.693767410305, 2642.693767410305, 2642.693767410305, 2642.693767410305, 2642.693767410305], 2297.545117044843, '2020-05-28 00:00:01')
([2647.2379310061615, 2647.2379310061615, 2647.2379310061615, 2647.2379310061615, 2647.2379310061615, 2647.2379310061615, 2647.2379310061615, 2647.2379310061615, 2647.2379310061615, 2647.2379310061615, 2647.2379310061615, 2647.2379310061615, 2647.2379310061615, 2647.2379310061615, 2647.2379310061615, 2647.2379310061615, 2647.2379310061615, 2647.2379310061615, 2647.2379310061615], 2302.4929205269027, '2020-05-28 00:00:01')
([2651.781664598016, 2651.781664598016, 2651.781664598016, 2651.781664598016, 2651.781664598016, 2651.781664598016, 2651.781664598016, 2651.781664598016, 2651.781664598016, 2651.781664598016, 2651.781664598016, 2651.781664598016, 2651.781664598016, 2651.781664598016, 2651.781664598016, 2651.781664598016, 2651.781664598016, 2651.781664598016, 2651.781664598016], 2307.420472882613, '2020-05-28 00:00:02')
([2656.3249677235794, 2656.3249677235794, 2656.3249677235794, 2656.3249677235794, 2656.3249677235794, 2656.3249677235794, 2656.3249677235794, 2656.3249677235794, 2656.3249677235794, 2656.3249677235794, 2656.3249677235794, 2656.3249677235794, 2656.3249677235794, 2656.3249677235794, 2656.3249677235794, 2656.3249677235794, 2656.3249677235794, 2656.3249677235794, 2656.3249677235794], 2312.3496449329964, '2020-05-28 00:00:03')
([2660.867839929885, 2660.867839929885, 2660.867839929885, 2660.867839929885, 2660.867839929885, 2660.867839929885, 2660.867839929885, 2660.867839929885, 2660.867839929885, 2660.867839929885, 2660.867839929885, 2660.867839929885, 2660.867839929885, 2660.867839929885, 2660.867839929885, 2660.867839929885, 2660.867839929885, 2660.867839929885, 2660.867839929885], 2317.2417059758277, '2020-05-28 00:00:05')
([2665.410280755125, 2665.410280755125, 2665.410280755125, 2665.410280755125, 2665.410280755125, 2665.410280755125, 2665.410280755125, 2665.410280755125, 2665.410280755125, 2665.410280755125, 2665.410280755125, 2665.410280755125, 2665.410280755125, 2665.410280755125, 2665.410280755125, 2665.410280755125, 2665.410280755125, 2665.410280755125, 2665.410280755125], 2322.174108046576, '2020-05-28 00:00:06')
([2669.9522897462134, 2669.9522897462134, 2669.9522897462134, 2669.9522897462134, 2669.9522897462134, 2669.9522897462134, 2669.9522897462134, 2669.9522897462134, 2669.9522897462134, 2669.9522897462134, 2669.9522897462134, 2669.9522897462134, 2669.9522897462134, 2669.9522897462134, 2669.9522897462134, 2669.9522897462134, 2669.9522897462134, 2669.9522897462134, 2669.9522897462134], 2327.1119394090406, '2020-05-28 00:00:07')
([2674.4938664441743, 2674.4938664441743, 2674.4938664441743, 2674.4938664441743, 2674.4938664441743, 2674.4938664441743, 2674.4938664441743, 2674.4938664441743, 2674.4938664441743, 2674.4938664441743, 2674.4938664441743, 2674.4938664441743, 2674.4938664441743, 2674.4938664441743, 2674.4938664441743, 2674.4938664441743, 2674.4938664441743, 2674.4938664441743, 2674.4938664441743], 2332.0449191369576, '2020-05-28 00:00:08')
([2679.0350104051113, 2679.0350104051113, 2679.0350104051113, 2679.0350104051113, 2679.0350104051113, 2679.0350104051113, 2679.0350104051113, 2679.0350104051113, 2679.0350104051113, 2679.0350104051113, 2679.0350104051113, 2679.0350104051113, 2679.0350104051113, 2679.0350104051113, 2679.0350104051113, 2679.0350104051113, 2679.0350104051113, 2679.0350104051113, 2679.0350104051113], 2337.020615677773, '2020-05-28 00:00:08')
([2683.575721178246, 2683.575721178246, 2683.575721178246, 2683.575721178246, 2683.575721178246, 2683.575721178246, 2683.575721178246, 2683.575721178246, 2683.575721178246, 2683.575721178246, 2683.575721178246, 2683.575721178246, 2683.575721178246, 2683.575721178246, 2683.575721178246, 2683.575721178246, 2683.575721178246, 2683.575721178246, 2683.575721178246], 2341.959226763347, '2020-05-28 00:00:09')
