([(53.726739772720386, -84.09137843268124), (52.75247432645162, -84.02764461706), (51.74354108818214, -83.947594578928), (0, 0), (54.020527621718585, -84.06310502738715), (50.989144686367595, -83.79497858774263), (42.135431706678695, -83.05877105214223)], (39.68340685221963, -13.666874007590195), (52.86221883887091, -83.91449389816867), '2020-05-20 00:59:59')
([(53.73380831814907, -84.08415717047234), (52.51309167039395, -84.0207874639804), (51.588557448030805, -83.94070887525923), (0, 0), (53.93261086361033, -84.05504442406135), (50.64742137627213, -83.79246652626617), (42.374497757703054, -83.04278297036326)], (39.72963618119065, -13.614237712559776), (52.863348484909146, -83.90726466951246), '2020-05-20 01:00:00')
([(53.60243346442865, -84.07732477143553), (52.464578142336954, -84.01361453072731), (51.91423324409293, -83.9327833673579), (0, 0), (54.15877485998941, -84.04921476656537), (50.6961634374353, -83.7853987697129), (42.369740322901386, -83.03396788241619)], (39.775678649612395, -13.56619988922688), (52.8643699289791, -83.90448487118263), '2020-05-20 01:00:02')
([(53.74611702198348, -84.07061551377838), (52.84057779154643, -84.00648112496968), (51.70360683490445, -83.92623219756778), (0, 0), (54.07307944597642, -84.04131198631057), (51.02232043348663, -83.7768507882337), (42.31571286922292, -83.03481630338153)], (39.82185438972348, -13.513414322456596), (52.865502452481046, -83.89725074314592), '2020-05-20 01:00:03')
([(53.648884435110105, -84.06326371257391), (52.54658831840225, -83.99931733099818), (51.83966071601531, -83.91843372330213), (0, 0), (53.81720396663464, -84.03326181499887), (50.54735325018741, -83.77133441519464), (42.419478339941776, -83.02834468404349)], (39.868002908687785, -13.460553334860764), (52.86663641045114, -83.8900141993487), '2020-05-20 01:00:04')
([(53.56393327683748, -84.05534033009312), (52.87874781761688, -83.99168626395549), (51.73834280762309, -83.9117733535625), (0, 0), (53.848541489531904, -84.02544950807447), (50.98189767725535, -83.76116154626692), (42.210155737246566, -83.02554793275593)], (39.914282092288865, -13.402940131238417), (52.8678814113665, -83.87832361519732), '2020-05-20 01:00:04')
([(53.674603702621795, -84.04830603922937), (52.828134956816825, -83.98440757710335), (51.44290577837497, -83.90505519770899), (0, 0), (54.2454609884724, -84.01910123437412), (51.018719658489886, -83.75451470415302), (42.354054381905975, -83.01755740226476)], (39.96037530931971, -13.349926726663346), (52.86901822986915, -83.87108230760268), '2020-05-20 01:00:05')
([(53.548259644106366, -84.0415553115003), (52.51625556986979, -83.97699344875697), (51.81242062318127, -83.89723504588488), (0, 0), (54.281935977021966, -84.01167254443682), (50.70715264568981, -83.74992634799041), (42.403244205374456, -83.00811142112413)], (40.00644105740329, -13.296837353864056), (52.87015648363911, -83.86383857878023), '2020-05-20 01:00:06')
([(53.76938276638116, -84.03362458047711), (52.56117939414592, -83.97054077323355), (51.68641639679891, -83.8904172878751), (0, 0), (54.08303730657632, -84.00482219319522), (50.77641358918803, -83.741344306273), (42.49466438814806, -83.00627668343394)], (40.05247925377006, -13.243671830111742), (52.87129617294127, -83.85659242688936), '2020-05-20 01:00:07')
([(53.67511191783468, -84.02751176327318), (52.62918034443631, -83.96337732716609), (51.87177232222812, -83.88315553673789), (0, 0), (54.18602144462718, -83.99718347869782), (50.935679496019645, -83.73505494055698), (42.496996769129325, -83.00052180228106)], (40.098334306999064, -13.195110707237008), (52.872099077321174, -83.85379518094119), '2020-05-20 01:00:09')
