 -49.00  0.95  0.37172E+10  0.029 301.7  0.12864E+12
 -48.50  0.95  0.36847E+10  0.029 302.2  0.12736E+12
 -48.00  0.95  0.36520E+10  0.029 302.6  0.12608E+12
 -47.50  0.95  0.36191E+10  0.029 303.1  0.12479E+12
 -47.00  0.95  0.35859E+10  0.029 303.5  0.12351E+12
 -46.50  0.95  0.35526E+10  0.029 303.9  0.12223E+12
 -46.00  0.95  0.35191E+10  0.029 304.2  0.12095E+12
 -45.50  0.95  0.34855E+10  0.029 304.6  0.11967E+12
 -45.00  0.95  0.34511E+10  0.029 304.8  0.11840E+12
 -44.50  0.95  0.34167E+10  0.029 305.0  0.11714E+12
 -44.00  0.95  0.33824E+10  0.029 305.2  0.11587E+12
 -43.50  0.95  0.33483E+10  0.029 305.4  0.11462E+12
 -43.00  0.95  0.33143E+10  0.029 305.6  0.11338E+12
 -42.50  0.95  0.32807E+10  0.029 305.9  0.11215E+12
 -42.00  0.95  0.32473E+10  0.029 306.1  0.11093E+12
 -41.50  0.95  0.32143E+10  0.029 306.3  0.10973E+12
 -41.00  0.95  0.31818E+10  0.029 306.5  0.10854E+12
 -40.50  0.95  0.31499E+10  0.029 306.7  0.10738E+12
 -40.00  0.95  0.31186E+10  0.029 306.9  0.10624E+12
 -39.50  0.95  0.30879E+10  0.029 307.1  0.10512E+12
 -39.00  0.95  0.30581E+10  0.029 307.3  0.10403E+12
 -38.50  0.95  0.30291E+10  0.029 307.5  0.10297E+12
 -38.00  0.95  0.30011E+10  0.029 307.7  0.10194E+12
 -37.50  0.95  0.29741E+10  0.029 307.9  0.10095E+12
 -37.00  0.95  0.29483E+10  0.029 308.2  0.99996E+11
 -36.50  0.95  0.29237E+10  0.030 308.4  0.99081E+11
 -36.00  0.95  0.29004E+10  0.030 308.6  0.98208E+11
 -35.50  0.95  0.28786E+10  0.030 308.9  0.97382E+11
 -35.00  0.95  0.28582E+10  0.030 309.1  0.96603E+11
 -34.50  0.95  0.28395E+10  0.030 309.4  0.95876E+11
 -34.00  0.95  0.28224E+10  0.030 309.6  0.95203E+11
 -33.50  0.95  0.28072E+10  0.030 309.9  0.94587E+11
 -33.00  0.95  0.27939E+10  0.030 310.2  0.94030E+11
 -32.50  0.95  0.27825E+10  0.030 310.5  0.93536E+11
 -32.00  0.95  0.27733E+10  0.030 310.8  0.93109E+11
 -31.50  0.95  0.27664E+10  0.030 311.2  0.92750E+11
 -31.00  0.95  0.27617E+10  0.030 311.5  0.92463E+11
 -30.50  0.95  0.27595E+10  0.030 311.9  0.92252E+11
